frame_id	rectstat (12 bits, the left top rectangle is the lowest bit)
0			010001000001
1			010011000001
2			010011000001
3			010001000001
4			010001000001
5			010001000001
6			010001000001
7			010001000011
8			010011000001
9			010011000011
10			010000000010
11			010000000010
12			010010000010
13			010010010010
14			010010000010
15			010000000010
16			010000010010
17			011011001011
18			011001000011
19			011001010011
20			010000010011
21			010001010010
22			010010010011
23			010011010111
24			010001010011
25			010000010001
26			010001000001
27			000001010001
28			010001010000
29			010001010000
30			010001010000
31			010000010000
32			010001010000
33			010001010000
34			010001000000
35			010000000000
36			010000000000
37			001011000000
38			001000000000
39			001000000000
40			000000000000
41			000000000000
42			000000000000
43			000000000000
44			010001000000
45			000000000000
46			000000000000
47			000000000100
48			000000010000
49			010000010000
50			010000010000
51			010000000000
52			010000000100
53			010000000100
54			010000010101
55			010000010100
56			010000010001
57			010000010001
58			010000010001
59			010000000001
60			010000000001
61			010000000000
62			010000000000
63			011000010000
64			011001000001
65			010001000001
66			010001010001
67			010001000001
68			010001000001
69			010001000001
70			010001000001
71			010000000001
72			010000000000
73			010000000000
74			010000000000
75			011000000000
76			010000000000
77			010010000000
78			010001000000
79			011001000100
80			010011000100
81			011011000000
82			001011000001
83			011010000000
84			001010010100
85			010010000100
86			010010010100
87			000010000100
88			010010010100
89			010010000100
90			010010010100
91			010010000100
92			010010000100
93			010010000100
94			010010010100
95			011010010100
96			010010010100
97			010010110100
98			010001010100
99			010011010100
100			010011000100
101			010010010100
102			010011010100
103			010011000100
104			010011010100
105			010001010100
106			010011010100
107			010011000100
108			010011000100
109			010001000100
110			010011000111
111			000001000111
112			010011000110
113			000010000110
114			000011000110
115			010001000111
116			010000000110
117			010000000110
118			000000000110
119			000000000110
120			000000000110
121			000001000110
122			010001000110
123			010001000110
124			010001000110
125			011001010110
126			011001000111
127			011001010111
128			011001010101
129			011001000101
130			011001010100
131			011001010100
132			011001010100
133			011001000100
134			011000000100
135			011000000100
136			011001000100
137			011010000100
138			011000000100
139			001000000100
140			001000000100
141			001000000100
142			011000000100
143			010000000100
144			010000000101
145			010000000111
146			010000000101
147			010000000101
148			011010000111
149			010000000111
150			010000000111
151			010000100011
152			010000100111
153			010000100111
154			010000100111
155			010000100111
156			010010100111
157			010000100111
158			010010100111
159			010010100111
160			010010100111
161			010010100111
162			010010100001
163			010010100011
164			010010100011
165			010010100101
166			010010100101
167			010110100001
168			010110100101
169			010100000001
170			010100100001
171			010100010001
172			011100000001
173			011101000001
174			111101110001
175			011101000001
176			001101100011
177			001101110111
178			010001100011
179			010100100111
180			010101110111
181			010100110111
182			010100110111
183			010100110010
184			000000110110
